business_name,main_topic,mention_count,pct_negative,avg_urgency_score,actionable_count,priority_score
SportClub - Mendiolaza,Staff & Trainers,26,46.2,1.58,22,18.98
SportClub Gauss,Cleanliness & Hygiene,7,100.0,2.71,7,18.97
Zoom Fitness Center (sede Villa Allende),Group Classes,11,81.8,1.91,11,17.19
SportClub Gauss,Equipment & Machines,14,57.1,2.07,14,16.55
SportClub - Mendiolaza,Crowd & Availability,12,75.0,1.83,12,16.47
SportClub - Mendiolaza,Cleanliness & Hygiene,10,70.0,2.3,10,16.1
SportClub - Mendiolaza,Price & Membership,8,100.0,2.0,7,16.0
Zoom Fitness Center (sede Villa Allende),Equipment & Machines,21,47.6,1.57,20,15.69
SportClub Gauss,Price & Membership,8,87.5,2.12,8,14.84
SportClub - Mendiolaza,Locker Rooms & Amenities,7,85.7,2.14,7,12.84
Zoom Fitness Center (sede Villa Allende),Staff & Trainers,32,28.1,1.38,32,12.41
SportClub - Mendiolaza,Equipment & Machines,23,39.1,1.35,21,12.14
SportClub - Mendiolaza,Location & Access,11,54.5,1.73,10,10.37
Zoom Fitness Center (sede Villa Allende),Crowd & Availability,4,100.0,2.0,4,8.0
SportClub Gauss,Staff & Trainers,13,38.5,1.46,13,7.31
Zoom Fitness Center (sede Villa Allende),Price & Membership,4,100.0,1.25,4,5.0
SportClub - Mendiolaza,Overall Experience,7,42.9,1.29,6,3.87
Zoom Fitness Center (sede Villa Allende),Cleanliness & Hygiene,6,33.3,1.33,6,2.66
SportClub - Mendiolaza,App & Booking,1,100.0,2.0,True,2.0
SportClub Gauss,App & Booking,1,100.0,2.0,True,2.0
SportClub Gauss,Crowd & Availability,2,50.0,2.0,2,2.0
Zoom Fitness Center (sede Villa Allende),Location & Access,2,50.0,1.5,2,1.5
Zoom Fitness Center (sede Villa Allende),Locker Rooms & Amenities,2,50.0,1.5,2,1.5
SportClub Gauss,Locker Rooms & Amenities,2,50.0,1.5,2,1.5
SportClub Gauss,Overall Experience,9,11.1,1.11,3,1.11
Zoom Fitness Center (sede Villa Allende),Overall Experience,17,5.9,1.0,11,1.0
Zoom Fitness Center (sede Villa Allende),App & Booking,1,0.0,1.0,False,0.0
SportClub Gauss,Location & Access,2,0.0,1.0,2,0.0
